player_name,draft_year,pick_number,college,height_inches,weight_lbs,position,ppg,apg,rpg,spg,bpg,mpg,topg,fpg,fg_pct,three_pt_pct,ft_pct,efg_pct,two_pt_pct,ws,ws_40,ows,dws,ts_pct,tov_pct,ftr,three_pt_attempt_rate,college_seasons,one_and_done,recruit_rank,is_top_100_recruit,is_top_10_recruit,nba_seasons,nba_4yr_total_mp,nba_4yr_bpm,nba_4yr_vorp,nba_4yr_ws,career_ws48,meaningful_career,bpm_tier,minutes_tier,PosVORP
Speedy Claxton,2000,20,Hofstra,71,166,Guard,16.93277311,5.546218487,4.756302521,2.420168067,0.2773109244,34.08403361,3.092436975,2.042016807,0.468,0.322,0.748,0.49,0.491,19.4,0.191,9.9,9.5,0.545,16.6,0.48,0.134,4,0,101,0,0,7,3594,0.475375626,3.2,8.2,0.08,1,Starter+,Rotation,1
Morris Peterson,2000,21,Michigan State,79,218,Forward,11.59124088,0.9270072993,4.708029197,0.8686131387,0.3065693431,22.44525547,1.474452555,2.182481752,0.484,0.377,0.746,0.547,0.537,18.3,0.238,10,8.2,0.582,12.9,0.367,0.333,5,0,101,0,0,11,8894,-0.5585900607,3.1,16.6,0.089,1,Rotation,Starter+,1
Donnell Harvey,2000,22,Florida,80,220,Center,10.10810811,1,6.972972973,0.7297297297,0.8378378378,20.16216216,1.621621622,2.72972973,0.507,0,0.61,0.507,0.509,4,0.216,1.3,2.7,0.533,14.6,0.496,0.004,1,1,1,1,1,5,3360,-2.22625,-0.1,5.8,0.069,1,Rotation,Rotation,0
Mamadou N'Diaye,2000,26,Auburn,84,255,Center,6.8359375,0.59375,6.234375,0.6875,1.8828125,21.7578125,1.9453125,2.9921875,0.506,0,0.641,0.506,0.508,21.1,0.303,3.9,17.2,0.543,23.6,0.587,0.003,4,0,101,0,0,5,786,-4.207379135,-0.5,1.7,0.101,0,Bust,Bust,0
Erick Barkley,2000,28,St. John's,73,177,Guard,14.6,4.646153846,3.107692308,2.569230769,0.2769230769,34.78461538,2.230769231,2.415384615,0.396,0.328,0.727,0.464,0.444,6.7,0.118,2.9,3.8,0.508,13.4,0.363,0.409,2,0,29,1,0,2,266,-3.671428571,-0.2,0.1,0.027,0,Bust,Bust,0
Mark Madsen,2000,29,Stanford,81,240,Forward,10.88888889,0.6388888889,7.935185185,0.4351851852,0.5925925926,25.12037037,1.314814815,2.537037037,0.587,0,0.596,0.587,0.589,16.1,0.237,7.6,8.5,0.598,12.6,0.737,0.003,4,0,101,0,0,9,3318,-3.248583484,-1.1,6.8,0.074,1,Bust,Rotation,0
Dan Langhi,2000,31,Vanderbilt,83,220,Forward,12.41322314,0.6776859504,4.619834711,0.479338843,0.2148760331,24.43801653,1.570247934,1.545454545,0.445,0.383,0.831,0.508,0.475,11.4,0.154,8.1,3.3,0.571,12.6,0.434,0.33,4,0,101,0,0,4,1253,-4.651715882,-0.8,0.2,0.012,0,Bust,Rotation,0
A.J. Guyton,2000,32,Indiana,73,180,Guard,16.40625,3.1484375,3.3515625,1.0078125,0.40625,33.96875,2.3203125,1.3359375,0.455,0.414,0.79,0.541,0.484,15.6,0.144,11.5,4.1,0.572,13.9,0.249,0.417,4,0,101,0,0,3,1246,-2.920385233,-0.2,0.3,0.01,0,Rotation,Rotation,0
Jake Voskuhl,2000,33,UConn,83,245,Center,6.3,0.9,6.4,0.6,1.4,22.2,1.6,3.2,0.542,0,0.656,0.542,0.542,18.2,0.238,5,13.3,0.573,23.1,0.555,0,4,0,101,0,0,9,3596,-3.019048943,-0.9,8.5,0.087,1,Bust,Rotation,0
Khalid El-Amin,2000,34,UConn,70,200,Guard,15.27777778,4.435185185,2.953703704,1.722222222,0.09259259259,30.13888889,2.666666667,2.064814815,0.416,0.355,0.822,0.486,0.456,13.4,0.165,6.4,7,0.527,15.5,0.257,0.394,3,0,101,0,0,1,936,-2.4,-0.1,0.6,0.03,0,Rotation,Bust,0
